publisher,genres,price,developer,release_date
MumboJumbo,['Casual'],9.99,MumboJumbo,2008-06-10
MumboJumbo,['Casual'],9.99,MumboJumbo,2008-06-10
MumboJumbo,['Casual'],9.99,MumboJumbo,2008-06-10
MumboJumbo,['Casual'],9.99,MumboJumbo,2008-06-10
MumboJumbo,['Casual'],9.99,MumboJumbo,2005-12-08
MumboJumbo,['Casual'],9.99,MumboJumbo,2007-11-13
Ubisoft,['Simulation'],9.99,Ubisoft,2007-11-13
MumboJumbo,['Casual'],9.99,MumboJumbo,2005-12-08
Ubisoft,"['Action', 'Adventure']",9.99,"Ubisoft Bulgaria,Ubisoft Montpellier",2007-03-27
Ubisoft,['Simulation'],9.99,Ubisoft Romania,2007-03-20
1C Online Games,['Simulation'],9.99,1C: Maddox Games,2006-12-15
Ubisoft,['Simulation'],9.99,Ubisoft Romania,2008-03-24
Telltale Games,['Adventure'],9.99,Telltale Games,2005-09-15
"ValuSoft, Retroism",['Racing'],9.99,"Merscom,Babylon",2005-07-02
Telltale Games,['Adventure'],9.99,Telltale Games,2006-04-12
"ValuSoft, Retroism",['Racing'],9.99,BigAnt Studios,2008-07-29
"ValuSoft, Retroism",['Simulation'],9.99,Gabriel Entertainment,2007-07-02
"ValuSoft, Retroism",['Casual'],9.99,Zemnott,2007-08-08
Frogwares,['Adventure'],9.99,Frogwares,2008-05-20
Frogwares,"['Adventure', 'RPG']",9.99,Frogwares,2008-04-14
Silver Sphere Studios,"['Adventure', 'Indie']",4.99,"Luc Bernard,SilverSphereStudios",2008-07-31
Buka Entertainment,"['Simulation', 'Strategy']",7.99,Lesta Studio,2007-05-25
Meridian4,"['Action', 'Indie']",4.99,Dialogue Design,2008-08-21
Strategy First,['Racing'],19.99,Bugbear Entertainment,2008-08-19
Oddworld Inhabitants,['Adventure'],2.99,Oddworld Inhabitants,1998-11-17
Oddworld Inhabitants,['Adventure'],2.99,Oddworld Inhabitants,1997-12-12
SimBin,['Racing'],7.99,SimBin,2008-09-01
2K Games,['Strategy'],4.99,"MicroProse Software, Inc",2001-04-19
2K Games,['Strategy'],4.99,"MicroProse Software, Inc",1997-07-15
2K Games,['Strategy'],4.99,"MicroProse Software, Inc",1993-12-31
GSC World Publishing,"['Action', 'RPG']",9.99,GSC Game World,2008-09-15
Electronic Arts,['Action'],19.99,Crytek,2008-09-17
Electronic Arts,['Action'],19.99,Crytek,2007-11-13
2K Games,['Strategy'],4.99,"MicroProse Software, Inc",1998-06-15
"CD PROJEKT RED, 1C-SoftClub","['Action', 'RPG']",9.99,CD PROJEKT RED,2008-09-16
Introversion Software,['Indie'],9.99,Introversion Software,2008-09-19
SimBin,['Racing'],2.99,SimBin,2008-10-22
"Tilted Mill Entertainment, Inc.","['Strategy', 'Simulation']",2.49,"Tilted Mill Entertainment, Inc.",2008-08-28
2K Games,['Strategy'],19.99,Firaxis Games,2008-09-23
Ubisoft,['Action'],9.99,"Red Storm Entertainment,Ubisoft Montreal",2003-03-18
Warner Bros. Interactive Entertainment,"['Action', 'Adventure']",19.99,Traveller's Tales,2008-09-29
Focus Home Interactive,"['Simulation', 'Strategy']",9.99,Monte Cristo,2008-07-18
"Tilted Mill Entertainment, Inc.","['RPG', 'Strategy']",9.99,"Tilted Mill Entertainment, Inc.",2008-09-30
Ubisoft,['Action'],9.99,Gearbox Software,2008-10-08
Dark Castle Software,"['Indie', 'Casual']",4.99,Dark Castle Software,2008-08-31
Techland,['Racing'],4.99,Techland,2006-12-01
Ubisoft,['Strategy'],9.99,Nival,2006-11-14
Ubisoft,['Action'],9.99,Gearbox Software,2005-10-04
Ubisoft,['Strategy'],9.99,Nival,2007-10-16
Ubisoft,['Strategy'],19.99,Blue Byte,2008-04-18
Ubisoft,['Casual'],9.99,Ubisoft,2007-09-25
Ubisoft,['Action'],9.99,Red Storm Entertainment,2002-05-31
"PopCap Games, Inc.",['Casual'],4.99,"PopCap Games, Inc.",2008-10-15
2D BOY,['Indie'],9.99,2D BOY,2008-10-13
Egosoft,"['Action', 'Simulation', 'Strategy']",15.99,Egosoft,2008-10-16
Tripwire Interactive,['Action'],Free,Sandstorm Productions,2008-10-17
Shorebound Studios,"['Casual', 'Indie']",4.99,Shorebound Studios,2008-10-20
Perpetual FX Creative,"['Indie', 'Casual', 'Sports']",19.99,Perpetual FX Creative,2008-10-21
Rockstar Games,"['Action', 'Adventure']",14.99,Rockstar New England,2008-10-21
Ubisoft,['Action'],9.99,Ubisoft Montreal,2008-10-22
Meridian4,"['Action', 'Indie', 'Strategy']",4.99,Meridian4,2008-10-23
Dovetail Games,['Simulation'],4.99,RailSimulator.com,2009-01-01
Dovetail Games,['Simulation'],4.99,RailSimulator.com,2009-01-01
Dovetail Games,['Simulation'],4.99,RailSimulator.com,2009-01-01
Dovetail Games,['Simulation'],4.99,Reppo,2009-01-01
Dovetail Games,['Simulation'],4.99,RailSimulator.com,2009-01-01
Dovetail Games,['Simulation'],4.99,Dovetail Games,2009-01-01
Dovetail Games,['Simulation'],4.99,Dovetail Games,2009-01-01
Deep Silver,['Action'],9.99,Volition,2009-01-28
Electronic Arts,['Action'],19.99,EA Redwood Shores,2008-10-20
Codemasters,['RPG'],9.99,Liquid Entertainment,2008-12-16
Electronic Arts,"['Action', 'Adventure']",19.99,DICE,2009-01-13
Hidden Path Entertainment,"['Indie', 'Strategy']",9.99,Hidden Path Entertainment,2008-12-08
Warner Bros. Interactive Entertainment,['Action'],14.99,Monolith,2009-02-12
Oxeye Game Studio,"['Strategy', 'Indie']",7.99,Oxeye Game Studio,2008-03-05
Inventive Dingo,"['Indie', 'Strategy']",9.99,Inventive Dingo,2007-07-04
Meridian4,"['Action', 'Indie']",4.99,Meridian4,2009-03-19
Paradox Interactive,['Strategy'],9.99,Black Sea Studios Ltd,2005-05-10
Assemble Entertainment,"['Action', 'Adventure', 'Strategy']",5.99,Realmforge Studios,2009-02-27
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",['Strategy'],2.99,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009-03-04
Warner Bros. Interactive Entertainment,['Action'],4.99,Deadline Games,2009-03-04
Frictional Games,"['Action', 'Adventure', 'Indie']",9.99,Frictional Games,2007-03-30
"Epic Games, Inc.",['Action'],19.99,"Epic Games, Inc.",2007-11-19
DTP Entertainment,['RPG'],9.99,Radon Labs,2009-02-27
Tale of Tales,"['Indie', 'Simulation']",4.99,Tale of Tales,2008-03-21
Electronic Arts,['Racing'],19.99,Criterion Games,2009-02-03
Twisted Pixel Games,"['Action', 'Indie']",9.99,Twisted Pixel Games,2009-03-09
Twisted Pixel Games,"['Action', 'Indie']",1.25,Twisted Pixel Games,2009-03-16
Twisted Pixel Games,"['Action', 'Indie']",1.25,Twisted Pixel Games,2009-03-16
Meridian4,"['Casual', 'Indie']",4.99,IonFX,2009-03-19
Llamasoft LTD,['Indie'],9.99,Llamasoft LTD,2009-03-19
THQ Nordic,"['Simulation', 'Strategy']",14.99,"InnoGlow,Stormregion,THQ Nordic",2009-03-10
"PopCap Games, Inc.",['Casual'],4.99,SpinTop Games,2009-04-15
NCsoft,"['RPG', 'Massively Multiplayer']",19.99,ArenaNet®,2006-10-27
NCsoft,"['RPG', 'Massively Multiplayer']",19.99,ArenaNet®,2005-04-28
NCsoft,"['RPG', 'Massively Multiplayer']",19.99,ArenaNet®,2006-04-28
NCsoft,"['Massively Multiplayer', 'RPG']",29.99,ArenaNet®,2008-09-25
Strategy First,['Casual'],14.99,Infinite Interactive,2009-04-16
MumboJumbo,['Casual'],9.99,MumboJumbo,2009-04-29
Topware Interactive,['RPG'],9.99,Reality Pump Studios,2009-04-30
"Black Forest Games, THQ Nordic",['Strategy'],9.99,Spellbound,2009-04-30
Topware Interactive,"['Action', 'Adventure', 'RPG']",9.99,Gaijin Entertainment,2009-02-10
ACE Team,"['Action', 'Indie']",9.99,ACE Team,2009-04-21
Twisted Pixel Games,['Indie'],1.25,Twisted Pixel Games,2009-04-29
1C Company,"['RPG', 'Strategy']",6.99,1C Company,2008-09-23
Last Day of Work,"['Casual', 'Simulation']",9.99,Last Day of Work,2009-05-06
1C Company,['Racing'],2.99,Sky Fallen,2009-05-06
2K Games,"['RPG', 'Strategy']",4.99,Irrational Games,2005-03-08
2K Games,"['RPG', 'Strategy']",4.99,Irrational Games,2002-03-26
SaintXi,"['Indie', 'Simulation', 'Strategy']",14.99,SaintXi,2009-06-04
Darklight Games,"['Action', 'Simulation']",Free,Darklight Games,2009-06-09
Activision,"['Action', 'Adventure']",19.99,Radical Entertainment,2009-06-10
Erik Svedäng,"['Adventure', 'Indie']",4.99,Erik Svedäng,Jun 2009
Strategy First,['Strategy'],4.99,Ascaron Entertainment ltd.,2004-04-30
Bethesda Softworks,['RPG'],14.99,Bethesda Game Studios,2007-09-11
Bethesda Softworks,['RPG'],14.99,Bethesda Game Studios,2002-04-29
Strategy First,['Adventure'],4.99,Deck 13,2007-05-18
"NovaLogic, THQ Nordic",['Simulation'],9.99,NovaLogic,1999-09-01
"NovaLogic, THQ Nordic",['Simulation'],9.99,NovaLogic,1998-09-07
Strategy First,['Strategy'],4.99,Mascot Entertainment,2008-09-15
Ubisoft,['Action'],9.99,Techland,2009-06-30
HeR Interactive,['Adventure'],6.99,HeR Interactive,2007-10-01
HeR Interactive,['Adventure'],6.99,HeR Interactive,2006-10-01
HeR Interactive,['Adventure'],6.99,HeR Interactive,2008-07-01
HeR Interactive,['Adventure'],6.99,HeR Interactive,2007-07-01
Digital Eel,"['Casual', 'Indie']",Free to Play,Digital Eel,2008-12-24
Telltale Games,['Adventure'],19.99,Telltale Games,2009-07-07
Capcom,['Action'],19.99,Capcom,2009-07-07
LucasArts,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",9.99,Frontier,2007-10-09
"LucasArts, Lucasfilm, Disney Interactive",['Adventure'],5.99,LucasArts,1992-06-01
"LucasArts, Lucasfilm, Disney Interactive",['Action'],5.99,Planet Moon Studios,2003-12-02
"Lucasfilm, LucasArts, Disney Interactive",['Action'],9.99,Pandemic Studios,2005-11-01
"LucasArts, Lucasfilm, Disney Interactive",['Adventure'],5.99,LucasArts,1989-07-01
"LucasArts, Lucasfilm, Disney Interactive","['Action', 'Adventure']",19.99,Traveller's Tales,2008-06-03
"LucasArts, Lucasfilm, Disney Interactive",['Adventure'],9.99,LucasArts,2009-07-15
Game Factory Interactive,['Strategy'],12.99,GFI Russia,2008-11-20
Game Factory Interactive,"['Action', 'Racing']",9.99,Targem Games,2009-06-02
HeR Interactive,['Adventure'],6.99,HeR Interactive,2009-07-21
Activision,['Sports'],9.99,Wanako Games,2006-12-20
Activision,['Adventure'],19.99,Sierra,2006-09-01
Activision,['Action'],19.99,Saber Interactive,2007-10-30
Activision,['Adventure'],19.99,Sierra,2006-09-01
Tripwire Interactive,['Action'],7.99,Tripwire Interactive,2009-07-24
Activision,"['Action', 'Casual']",9.99,Artech Studios,2008-06-04
Kalypso Media Digital,"['Simulation', 'Strategy']",6.99,"PopTop Software,BreakAway Games,Frog City Software",2009-07-24
"PopCap Games, Inc.",['Casual'],4.99,SpinTop Games,2009-07-27
Capcom,['Action'],9.99,Capcom,2008-08-14
Capcom,"['Action', 'Adventure']",9.99,Capcom,2009-07-28
Warner Bros. Interactive Entertainment,['Action'],4.99,Deadline Games,2009-07-29
Sakari Indie,"['Action', 'Indie']",4.99,Sakari Indie,2009-08-04
"LucasArts, Aspyr (Mac), Disney Interactive, Lucasfilm","['Adventure', 'RPG']",9.99,"BioWare,Aspyr (Mac)",2003-11-19
Hemisphere Games,"['Indie', 'Casual']",9.99,Hemisphere Games,2009-08-18
Bethesda Softworks,['RPG'],9.99,Black Isle Studios,1998-12-01
Bethesda Softworks,['Strategy'],9.99,14° East,2001-03-01
Interplay Inc.,['Action'],9.99,Xatrix Entertainment,1999-06-01
Telltale Games,['Adventure'],19.99,Telltale Games,2009-08-20
iWin,['Casual'],19.99,iWin,2009-08-24
iWin,['Casual'],9.99,iWin,2009-08-24
Size Five Games,"['Adventure', 'Indie']",4.99,Size Five Games,2009-06-22
Ubisoft,['Action'],9.99,Ubisoft Montreal,2005-03-29
1C Company,['Strategy'],4.99,Unicorn Games Studio,2009-08-28
THQ Nordic,['Simulation'],14.99,Blue Fang,2009-10-30
Square Enix,"['Action', 'Adventure']",9.99,IO Interactive,2009-09-08
Freeze Tag Inc.,['Casual'],19.99,"Freeze Tag Inc.,iQ212",2009-09-23
Freeze Tag Inc.,['Casual'],19.99,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",1999-11-30
"Vectorpark, Inc.","['Adventure', 'Casual', 'Indie']",2.99,"Vectorpark, Inc.",2009-05-26
Dovetail Games - Trains,['Simulation'],24.99,All Aboard,2009-09-25
MumboJumbo,"['Adventure', 'Casual']",9.99,MumboJumbo,2009-09-28
Telltale Games,['Adventure'],19.99,Telltale Games,2009-09-07
"NovaLogic, THQ Nordic",['Action'],19.99,NovaLogic,2009-08-18
Dovetail Games - Trains,['Simulation'],17.99,Dovetail Games,2009-10-01
PlayFirst,['Simulation'],9.99,PlayFirst,2009-09-30
Dovetail Games - Trains,['Simulation'],19.99,Dovetail Games,2009-10-01
Deep Silver,['RPG'],9.99,Piranha Bytes,2009-10-30
Square Enix,['Casual'],3.99,Honeyslug,2009-10-01
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",['Strategy'],9.99,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009-10-05
Amanita Design,"['Adventure', 'Indie']",9.99,Amanita Design,2009-10-16
Electronic Arts,['Action'],9.99,EA Los Angeles,2007-09-04
Electronic Arts,['Racing'],19.99,Slightly Mad Studios,2009-09-15
Runic Games,['RPG'],14.99,Runic Games,2009-10-27
Electronic Arts,['Strategy'],19.99,EA Los Angeles,2009-03-12
FireFly Studios,['Strategy'],19.99,FireFly Studios,2009-10-27
Nitro Games,['Strategy'],4.99,Nitro Games,2009-10-27
THQ Nordic,['Action'],9.99,Homegrown Games,2009-10-27
THQ Nordic,"['RPG', 'Strategy']",14.99,"Phenomic,THQ Nordic",2009-10-29
Deep Silver,['Adventure'],9.99,Animation Arts,2009-10-29
Deep Silver,['Strategy'],4.99,Stormregion,2009-10-29
Telltale Games,['Adventure'],19.99,Telltale Games,2009-10-07
"1C Company, 1C-SoftClub",['Strategy'],4.99,1C Company,2009-11-01
KranX Productions,"['Action', 'Indie']",4.99,Konstantin Koshutin,2009-09-19
THQ Nordic,"['Action', 'RPG']",9.99,Phenomic,2009-11-03
Wargaming.net,['Strategy'],9.99,Wargaming.net,2005-03-03
Matrix Games/GMX Media,['Strategy'],9.99,Wargaming.net,2003-10-28
Devolver Digital,"['Action', 'Indie']",14.99,Croteam,2009-11-24
Deep Silver,['Adventure'],9.99,Animation Arts,2009-10-29
Electronic Arts,['RPG'],19.99,BioWare,2009-11-06
Citeremis Inc.,"['Action', 'RPG', 'Indie']",4.99,Citeremis Inc.,2009-05-07
Yullaby,"['Indie', 'Casual']",1.99,Yullaby,2009-11-05
Paradox Interactive,['Strategy'],9.99,Crystal Empire Games,2009-11-11
"Activision, Aspyr (Mac)",['Action'],19.99,"Infinity Ward,Aspyr (Mac)",2009-11-12
"LucasArts, Lucasfilm, Disney Interactive, Feral Interactive (Mac)",['Adventure'],19.99,"Traveller's Tales,Feral Interactive (Mac)",2009-11-12
Codemasters,['RPG'],4.99,"Triumph Studios,Virtual Programming",2007-06-26
Codemasters,['RPG'],9.99,"Triumph Studios,Virtual Programming",2008-02-15
Electronic Arts,['Strategy'],14.99,EA Los Angeles,2007-03-28
KranX Productions,"['Indie', 'Casual']",4.99,KranX Productions,2008-07-23
Electronic Arts,['Strategy'],19.99,EA Los Angeles,2009-11-13
Positech Games,"['Indie', 'Simulation', 'Strategy']",14.99,Positech Games,2009-11-16
Gaijin Entertainment,['Simulation'],9.99,Gaijin Entertainment,2009-12-25
inXile Entertainment,"['Action', 'Adventure', 'RPG']",9.99,inXile Entertainment,2005-06-17
Tripwire Interactive,['Action'],Free,Defence Alliance Team,2009-10-22
"LucasArts, Aspyr (Mac), Lucasfilm, Disney Interactive",['Action'],19.99,"LucasArts,Aspyr Studios",2009-11-03
Bethesda Softworks,['RPG'],19.99,Bethesda Game Studios,2009-10-13
Positech Games,"['Strategy', 'Indie', 'Simulation']",5.99,Positech Games,2009-12-16
iWin,['Simulation'],9.99,Hip Soft,2007-10-02
iWin,['Simulation'],9.99,Hip Soft,2008-04-29
iWin,['Simulation'],9.99,Hip Soft,2009-01-24
iWin,"['Casual', 'Simulation']",9.99,iWin,2009-12-17
SouthPeak Games,['Casual'],1.99,Spidermonk Entertainment,2009-12-17
Capcom,"['Action', 'Adventure']",19.99,Capcom,2008-07-08
Meridian4,"['Action', 'Indie', 'RPG']",9.99,ClockStone Studios,2010-03-17
iWin,['Simulation'],9.99,Hip Soft,2009-08-12
Octoshark Studios,"['Action', 'Free to Play', 'Indie']",Free,Octoshark Studios,2010-02-12
iWin,['Casual'],4.99,Alawar,2008-08-27
iWin,['Casual'],9.99,Alawar,2010-01-06
iWin,['Casual'],9.99,Alawar,2009-09-11
iWin,['Casual'],4.99,Alawar,2007-12-07
iWin,['Casual'],4.99,Alawar,2009-02-18
Sandlot Games,['Casual'],6.99,Sandlot Games,2010-02-16
Sandlot Games,"['Strategy', 'Casual']",6.99,Sandlot Games,2010-02-16
Sandlot Games,"['Adventure', 'Casual']",6.99,Cateia Games,2010-02-16
ND Games,['Strategy'],9.99,Chaos Concept,2010-02-17
"LucasArts, Lucasfilm, Disney Interactive",['Adventure'],19.99,Traveller's Tales,2010-02-18
New Star Games Ltd,"['Action', 'Indie', 'Racing']",4.99,New Star Games Ltd,2010-02-18
Paradox Interactive,['Strategy'],0.99,Paradox Interactive,2010-02-18
1C Company,['Action'],6.99,The Farm 51,2010-02-19
iWin,['Casual'],9.99,Awem Studio,2007-12-01
SEGA,['Action'],7.49,Rebellion,2010-03-18
Devolver Digital,"['Action', 'Indie']",9.99,Croteam,2001-03-21
Dovetail Games - Trains,['Simulation'],19.99,All Aboard,2010-03-19
TaleWorlds Entertainment,"['Action', 'RPG']",19.99,TaleWorlds Entertainment,2010-03-31
ZoopTEK,['Action'],4.99,ZoopTEK,2010-03-26
Beatnik Games,"['Action', 'Indie']",4.99,Beatnik Games,2010-04-05
Fatshark,['Action'],9.99,Fatshark,2010-04-08
Rockstar Games,['Action'],19.99,Rockstar North / Toronto,2010-04-12
Capcom,"['Action', 'Adventure']",4.99,Other Ocean Interactive,2010-04-12
Nemesys Games,['Indie'],0.99,Nemesys Games,2010-04-14
Cold Beam Games,"['Action', 'Casual', 'Indie']",9.99,Cold Beam Games,2010-04-15
Telltale Games,['Adventure'],19.99,Telltale Games,2010-04-15
Kalypso Media Digital,"['Simulation', 'Strategy']",9.99,Realmforge Studios,2010-04-19
Gaijin Entertainment,['Simulation'],4.99,Gaijin Entertainment,2010-04-19
2K Play,"['Adventure', 'Indie']",4.99,The Odd Gentlemen,2010-04-20
THQ Nordic,['Action'],4.99,THQ Nordic,2003-08-19
THQ Nordic,['Action'],4.99,THQ Nordic,2001-11-30
Red Chain Games Ltd.,"['Casual', 'Indie']",1.99,Red Chain Games Ltd.,2010-04-20
Big Fish Games,['Casual'],9.99,Big Fish Games,2006-07-19
Big Fish Games,"['Casual', 'Indie']",9.99,Big Fish Games,2008-06-19
